trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,8,-101.73071608134634,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-16.813677696398127,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-125.5338539061887,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-183.4939098455277,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",35,0,-63.60216322399313,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-151.6892337912024,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,0,-108.15550612286731,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,12,11.951720323067914,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,13,-19.080892874330253,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,17,-20.763196315244624,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-48.464490478739364,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-61.22755200760089,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,6,-100.21698756916976,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-64.36474691739537,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-90.32790029513205,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,1,-27.49310655931682,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-62.30442779113156,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-80.88073038863415,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-22.47757036341937,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-86.3009072713643,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
